Token,Frequency
4f47598e97636c8c1c84b28fbc291e79,1
98c9534196b9ffc2c1c394f413815c94,1
fffffff.exe fffffff.exe ENABLE,1
381b7be5c8221786dd4dd0d47d94a1fa,1
96387397b71d43b80fdcf9bf202563c6,1
5fa2312427c843fb7cfa807907bb059d,1
"6a2bf605ecd1ce1e01a7127368875c72.exe.dll,DllMain",1
b1223592cbccf71775e7ca28e3801427.jpg.dll,1
3214d159cba008ebc1df1d9333139f32,1
6Bm3kIvMyRl,1
2ZId3lzcw,1
4018049c2f9e479d8e26b8d112de90ff,1
734262d46e79b05daa223d96e18c6642,1
wintime 1755863691,1
86294c3ff0c512f0321437f4d011c390,1
89c778f290e876291eec947b02c7aa14,1
c powershell -command Get-EventLog -LogName * | ForEach { Clear-EventLog $_,1
powershell  -command Get-EventLog -LogName * | ForEach { Clear-EventLog $_,1
2d0cbd51b37a9b2b2d9a294fe367701b,1
09de944dc638800008db939a345c5a70,1
2UC1462,1
3Zf34bV,1
1nZ57Yu2,1
940ae1cff952a22a6adc9ae075c7cc4f,1
AlternativeEdgeCookies-output_20250524101530,1
FirefoxCookies-output_20250524101530,1
pid 1128,1
8xIkqbvGwT4p,1
25dd1dd94b9e0ce48696e4476dd16904,1
"af335dd404d7c2e6500c5a563936791c.exe.dll,DllMain",1
97fce3944d27d852e3dddfba7266d77a,1
10c622643209471d6c9b88a8bb76fead,1
8zykh-ev,1
855fdeba1529c3295bd8c76ed344d4fa,1
07ba12b90f021aabb0df6f7b054826b6,1
fi PID eq 2208,1
tmpB3A5.tmp.bat,1
7d6bb1294d456b66a4a7e5e92491a3db,1
8da5e57f2355699ffac30fe4bc2d0532,1
a *.exe *.ini *.dll *.bat *.db,1
7za.exe x -y -p2524417576883719292 Everything64.dll,1
ping  127,1
441b09b65aaf2247cb795cfcf8481a3c,1
"a308aa0667017c992b49846036c16ac7.exe.dll,DllMain",1
"4ac34c9c32a759ccdcf4d9aa0a4095d0.exe.dll,DllMain",1
25acbdbacaa1c7340ae01a46cd7a973b,1
"c7fbb084a6931c327ee6872051ee1d90.exe.dll,DllMain",1
0a73bfe1f1735691d464ef5c85e903b2,1
374f5805dbdfe777612f458687cb6c80,1
34cbfc5f52f9e5213c0a27200a0e026c,1
93908bbeff492712a9ea464c6de2c868,1
7edbd27505577c648a51954a787cd1e8,1
511b93e4c293fa29d8bd78f8db0a001c,1
93c893ba7f264c66a4461cb59fa5c59d,1
Crass.exe Crass.exe ENABLE,1
70b6d62af696523e2890e46717882a83,1
7d7f91ce,1
70deaa77d64edcb810814a57e24dd65a,1
708fa86a177c6ddcfa8dfbad0554fc27,1
66b94837985aaf7b0d8168d691c5857b,1
87dd1bd443615697a2b8cd499a4208d4,1
347ef1cb64dc8dca89300857862953b2,1
java.exe java.exe ENABLE,1
0cedb2c7acf9749447400590fb241692,1
google.com.exe,1
08e8be3682745c53da507b855a76caa6,1
"Abstricted.myi;$Legals=$Ijussite.SubString(2060,3);.$Legals($Ijussite)",1
5e133eab17e9e6e2b5178ab82d1a32f7,1
6559635a727a5a70803363c0544370d3,1
successful payment,1
._cache_30ae88466b0637a68ca7e43058b777b6.exe,1
37f426d6df407151c1c559476845a1d0,1
30528dea894b89ab82dcb84d80a1c56a,1
2a435eedd5b0f334c6997ce6d994ed6e,1
9928e3460bdcebeb7815787cb7da9ca1,1
5ce9be517dfc55f95310e579ccd273a0,1
6f062a269d028111f0398edd42422dd0,1
5c561144cb0a69255fb5c093a199845f,1
4e964d810aeca42195ec7f809ed57a0f,1
parrot crack cs go,1
parrot crack cs go.exe parrot crack cs go.exe ENABLE,1
7496034f02b083b7d41ceedf0804206d,1
6b7240bdfc19e175a9d29246ad86f4a1,1
34e95ec0754d2600e947b58aee3aaeda,1
736b2265d9ea9940d8af9fc85fc31a44,1
890cfc1e3bf6ad7991aa54566938e542,1
91a077352c3cd80dd4f2e741524ff564,1
50ed36acddabfd213d3f334dd528369d,1
"d1204417541a1c2cf848c3f8868dd2af.25501.dll,DllMain",1
5a217ca3e768c2108d81dbb3656fe9bb,1
6587d85518d740c7a2d0acefbb19789c,1
0468deb572fdc5ec2f7181bcbede3bfd,1
"41f78cb8b3101ef11c1d1563242ee813.exe.dll,DllMain",1
6302d9cbc68d7b9c11c76f4797540d2f,1
6bf5e724b32264fb1797ce81d84278e0,1
36bc104ebb3a75f7b088b5cad7a6d08d,1
"bea8adb961fa12feb2afd4df0c627006.exe.dll,DllMain",1
677094669d1af842f9a0b6eb17df131b,1
6ec74628e5716fe3e0408f67863aff96,1
1229d349ef41e164de48569b4af63b30,1
4fc1f04b7820444f5a5c8a3b7129e85c,1
7c9002b43fc053e937fa558615a4f306,1
reg:64&,1
site_id 525403,1
reg:32,1
reg:64,1
32069ff813bf1492cef30d8987c4ef5d,1
2c7ad71e478993654f74deb0d9c59f66,1
wevtutil.exe.exe,1
9ce67bf3c70e36a28842f4edfb88183c,1
no defender,1
powershell  -WindowStyle Hidden -Command Stop-Service -Name WinDefend -Force,1
1eed66c82b3e4ffd98d68ea63f0f25b0,1
3wmmhTNalO54JtYc9OWQXzjfP7BdIROzmG42xlHIHYjirJcj0sAtSI7vPtvE,1
7za.exe x -y -p5056156942493511584 Everything64.dll,1
5koto,1
300747b1633ec292cc4fd327325bad93,1
ru-RU,1
Microsoft Analysis Services,1
Windows Sidebar,1
jdk1.7.0,1
pip-ephem-wheel-cache-7pu0vs,1
tr-TR,1
sv-SE,1
Microsoft Visual Studio,1
Mozilla Firefox,1
ro-RO,1
Adobe AIR,1
Windows NT,1
Windows Portable Devices,1
Windows Photo Viewer,1
uk-UA,1
sk-SK,1
Microsoft SQL Server,1
sr-Latn-CS,1
OpenOffice 4,1
th-TH,1
Microsoft Silverlight,1
sl-SI,1
pip-install-tc1eqp,1
Windows Workflow Foundation,1
Mozilla Maintenance Service,1
5202455c6b46a92e287d8a47d9bd5e2c,1
6d0ff12180defb5ae0acbd90b0a3ff70,1
3609dea764f4c46c8acccda204a94d38,1
32299f0b76266dedc496a683ed30e9f2.exe 32299f0b76266dedc496a683ed30e9f2.exe ENABLE,1
64004e3ee51502fefc44536adfa66c19,1
83c8f2f2c770bc4e5414d1e748462b14,1
7b529cbff7e6ffdaff8fb5486cce007c,1
70487c8a18757a8fc336388a951a95e8,1
"acx132.cmd,::,,runas,0)(window.close)",1
"1a16cae1acc55072745c15e7dfb0330a.exe.dll,DllMain",1
"db824caed6efb468b72b5272a0a72c1d.exe.dll,DllMain",1
ping  127.0.0.1 -n 15,1
ec50f7899f166ad5e8a171289e761e40.exe:Zone.Identifier,1
2c7045f22b28028d7bde913f5a258c33,1
2c443a61fa5a674572bb331b09fab6f4,1
"030b16d2e20ed85fe1bf5906d29360d1.exe.dll,DllMain",1
ae117788ccf296798f64aa2746f74542.exe ae117788ccf296798f64aa2746f74542.exe ENABLE,1
31077c62789e944cfc4d4ee821465f05,1
503d9e9cfca19e6af86dae91cd6512fb,1
417465c62427203dc5ea3b73f76ecbc3,1
26a2bcaff96b42eb341a040c7fcd09d1,1
keepAlive 3648,1
keepAlive 2052,1
keepAlive 3372,1
43d74ddcad,1
8a09bcef35,1
48qKwkR,1
1f9e4872b571165719fd6b64f1e572cd,1
7c0c910adef23a374c9bc3b66013f738,1
fbe66bd1b4148e7b6703475947570643.exe fbe66bd1b4148e7b6703475947570643.exe ENABLE,1
97487d560bc67b3754f352223ec8324b,1
_0.480914372045615274327052786949852838.class,1
kernel32.dll.OpenFile,1
3fe1f548ceb3ec2772727d1a4d1eeb24,1
._cache_c2385b01cd51f608462c3ddaab90d13f.exe,1
4f5076d71f60a97f2278a0012361db4c,1
85fa9682138bf294accab39c30626219,1
24cc574cb829d7d572d36191d3744cc5,1
9c25af05d17f70267c626b7ed98d7910,1
3d3f654d29e263d20efd02a0bd70d22d,1
kbbdvrttw.pif lpsdopndv.iin,1
53ed2f7a4df70c082dbd2ab592804d8b,1
9126ad4efdbd921c4f73c7fdbe8790f5,1
4a92a1725fcca17789e47e7ea4eeabb0,1
f309c5180a4c493c97d327d1ef784d18.exe f309c5180a4c493c97d327d1ef784d18.exe ENABLE,1
1ccc23b53e706c1329f6dd66fdebc6f2,1
44100bd7997e48ea37418bd351ed7697.exe 44100bd7997e48ea37418bd351ed7697.exe ENABLE,1
2137a8693c35cf52276ed8497625f9d0,1
25ca80be23fa2815f4f76ab97313aa0d,1
43e52c7b8b970724d4e8447c68c32d34,1
0a8a8e4ad0df777d61fadde8ee077cdf,1
978e43f36e9f8fa67057591566b2472e,1
264eef9a214b5cfff22e89d2dc5cb9e9.sample.dll,1
7d7bc48fa43cd98fbf4b39aa9150c9f3,1
3955cb0702dbc60f85eaf2722e8f500e,1
2734a33c05e5b41b9593f26c3c41d052,1
6d3464979ea5d3fc855413f3b294baa2,1
058bc090a7b7fa7d2fc96b181c2b7dd8,1
49a7fd8a7be5109c03414b8b2f60c260,1
588810bd1b5e89fcc52764cb0af0502c,1
8c9de5d00787ec9906dcc02223d6317a,1
System.IO.File::SetLastAccessTime,1
System.Net.WebClient::UploadFile,1
System.IO.File::AppendText,1
"56d028620f61c0124c9d62766668f2c8.exe.dll,DllMain",1
992e977cf9cd136c4d5884eb73b82877,1
60e346d08b75737a5533802c3f6ed978,1
16f475a78829364603ddc53344adc3ca,1
google Chrome,1
google Chrome.exe google Chrome.exe ENABLE,1
adobescreen.exe adobescreen.exe ENABLE,1
6a74b41dcc60b2058ccd48302eec1b5a,1
"d8a175182c53c711240dc5145e11a90d.exe.dll,DllMain",1
96d36053940f0a175f9dc9b24e4096f3,1
9642149592c5a667cf9a0f28da45515d,1
"9f1e31839262ed77e29ca3a71f3addb4.25587.dll,DllMain",1
21e901c5868724c6b68a19f5416e25fc,1
6ab5e23b1aa0381bc90a2032ad6071e8,1
894054c687439c78f00bac307d7da081,1
6d3325541fb27f07f389a888f12e6c22,1
52d3984f811c7b4518fe4f9bc4138022,1
700ff252-3186-4bae-bc33-522c60945703,1
7aff4599e070181a1461660bbada7904,1
131612a28bd2d54087fde9aaa3ea3f7e,1
exploere.exe.exe,1
4e2cdabc58b6d6b40cbe93c7b26e31fb,1
168a3a8dffa60aa2dbdf8ef484ddd013,1
0162a491f5859c08d99ee5d5b8430fac,1
im 0162a491f5859c08d99ee5d5b8430fac,1
dyke bin,1
FINDSTR  SERVICE_NAME,1
SC  QUERY,1
443a584efd04652468b88f49d913618f,1
"d767e7c5c1e7ced1de568834b35e68c6.18070.dll,DllMain",1
3be7e402f842d277f0a428119dbdc66c,1
6efd632c94e466a73390f95acd67f518,1
53e0835d40dcccaff8528014813fdbb6,1
206f66c263e30b33118a4932e60f982b,1
968a465249104e01dedb32407e91c1bb,1
"265e3738b6c4543537b6fa2e6556fe36.8412.dll,DllMain",1
59stg3qWXS,1
8BdjG1iqVw2VLjyG5xQJdf,1
{D82B2AF0-6E5E-4703-8B91-8D76561A2012},1
ST 08:34,1
1S32M3,1
2R7197,1
5d84df0aabcce5287a1bbb815d3eb459.exe 5d84df0aabcce5287a1bbb815d3eb459.exe ENABLE,1
64aea0920fe3fa0c544acbfdcec0177d,1
BGIJJKKJJDAA & exit,1
grant a,1
grant %username%:F,1
0c39896b2e5755b4d760fc9c2537b4a9,1
75682d9dc71777056fffc2221e154445,1
7f326cc6e8c3e9f4600539436787e973,1
760a7128cbbae82631e3025964e36f6b,1
9ed5dcde5f8640754cda927d96bf5674,1
5212f973bdd9f8f7f983d25e94a73e70,1
49411b8cb5f0230970c0d14bb7cb6e21,1
11a68674d58a037199701093627cb50c,1
217a1c88b65aad1909d7f005e65a742e,1
PID 4064,1
PID 2620,1
PID 2412,1
PID 4040,1
PID 3452,1
PID 1004,1
PID 3188,1
PID 4424,1
PID 4548,1
PID 4924,1
7a48debc73bdbad8fdc16f419019afb8,1
AVG.exe AVG.exe ENABLE,1
51ed12c0a00c4617010a9a7e1a5cd418,1
08d9a3955cda52b91ab275bbf862cc91,1
104f3744c4a2fd416e8a12882c11d263,1
v version,1
Microsoft-e26fa1b625.exe.exe,1
1a6ff230b4a771ba08ab4510301081b3,1
38fad5f6378078ef3e8801b19b9ce473,1
849ebfaab72b6595338b3fe11701e113,1
sc  delete wuauserv,1
net  stop bits,1
net1  stop wuauserv,1
net1  stop bits,1
sc  config bits start= disabled,1
sc  delete bits,1
net  stop wuauserv,1
8LZr65QR059h,1
mo 5,1
2eda2b91a6f170a8ade2e419a3492497,1
0b13ead1-0a53-4f5e-8316-cb3fd9632460,1
90b735d4-e393-4eb8-9a9a-d05d7e07e085,1
d0a24f0b-405a-4c94-8aa6-a4e7380e08a2,1
67fde989-9ecf-4e2d-86e0-b62187f9b511,1
3ad0754bbddd7ac6b0ef1cd568b57769,1
ad979b52-9895-493a-a52e-d2436b5e0337,1
3dff96b4-be2a-4342-8fa9-d0c13d1507ae,1
59088693965569ca7bc5fe8ad3a2f5ee,1
ping.exe -n 1 -w 1000 www.ccleaner.com,1
installationComplete bin|folders|allusers,1
1e898d281de3523d3f4d8ffdb4de6dcb,1
6e19206d716b43b2164d609db1701e0e,1
19ebfbdcb54f1030cd17693dd912a53d,1
1176c5d84c3f086ebe5739993f415dcc,1
20816075fe27cc379aafdf2e269d5de7,1
1651b94d19b4cee3c1f962668f70830a,1
15de9ef9a77b6142766c0c2a7e53db73,1
1ns5ho,1
4c3da6b0348f8e040c45116d09a8e39f,1
0iudezcf,1
im ce0ebc9481c9647230e8c773265a9a50,1
RequestHunter v2.3.exe,1
800b9f83ea7629993c05ef3e663d762e,1
329018024f7a0e165428ea5c85e6799e,1
41f04eb0faa2386daf056b6f8d528d20,1
"ec5f9e90d0d32634f12491aa1dbea522.exe.dll,DllMain",1
078c8e09f256a16449b3172410ae9681,1
90bb4419452472867812fbe36ec55b48,1
"dc7f1b54bf245d6d68beff087d50ea07.exe.dll,DllMain",1
1P22P4,1
2X1892,1
3J14t,1
2310f1d72d2940fde49401d977ee029f,1
1466d4e6484031d00dae1cf2b9303f01,1
34bd69ddd4324d9167f14e5e8e3c3c55,1
50c87782a058f90ad68d3b1f2a4d232c,1
8cfd2ccdc9a21cf19cfa99ef4a770f47,1
"8fc4af2a8a710fd83af081e006e01202.23005.dll,DllMain",1
"74773619e8312fcfa964defbc3024563.exe.dll,DllMain",1
048027e00ace0ebea78824fac0a5f9b8,1
56ab31ad4f573575e046028dce568785_3202i,1
56ab31ad4f573575e046028dce568785_3202n,1
56ab31ad4f573575e046028dce568785_3202s,1
56ab31ad4f573575e046028dce568785_3202e,1
56ab31ad4f573575e046028dce568785_3202p,1
56ab31ad4f573575e046028dce568785_3202b,1
56ab31ad4f573575e046028dce568785_3202r,1
56ab31ad4f573575e046028dce568785_3202j,1
56ab31ad4f573575e046028dce568785_3202a,1
56ab31ad4f573575e046028dce568785_3202x,1
56ab31ad4f573575e046028dce568785_3202,1
56ab31ad4f573575e046028dce568785_3202c,1
56ab31ad4f573575e046028dce568785_3202w,1
56ab31ad4f573575e046028dce568785_3202o,1
56ab31ad4f573575e046028dce568785_3202y,1
56ab31ad4f573575e046028dce568785_3202d,1
56ab31ad4f573575e046028dce568785_3202q,1
56ab31ad4f573575e046028dce568785_3202t,1
56ab31ad4f573575e046028dce568785_3202v,1
56ab31ad4f573575e046028dce568785_3202m,1
56ab31ad4f573575e046028dce568785_3202k,1
56ab31ad4f573575e046028dce568785_3202g,1
56ab31ad4f573575e046028dce568785_3202l,1
56ab31ad4f573575e046028dce568785_3202u,1
56ab31ad4f573575e046028dce568785_3202f,1
56ab31ad4f573575e046028dce568785_3202h,1
1778f36235a9c4336ad9dcc07bbfabb0,1
2kflh3xp,1
08adfa3f981c8ea1bd0036cf0cf6217b,1
c cmd < Kilometers,1
T 5 ovzfUTiejkFZGjgtZvvhIE,1
V Tc Deny,1
Y Paint.vss *.*,1
9409234a575ba9d93496cb6e04af1b21,1
13caf266c5f6b2a1656472cabf5e16b2,1
817836cf8ba07989f04f5a7ee53d2149,1
2a9bde431850edaf0e371bc95a01cbd5,1
ping  127.0.0.1 -n 18,1
ping  127.0.0.1 -n 14,1
3eea1ec177fe416c5b111324a891e980,1
2d7eb51dc58773d7725fe8fddd3c8086,1
606437d3aabb4f1c615231fb22accaea,1
3269d3ecfc55822a1a469bf73c5c0c8f,1
55396d814212dc06824964ec90084d3b,1
18a8107181d5c6c03c61ee24b662fe3e,1
9b3d1ca51a7093dd9d0a986f6383979c,1
7b8b17d0800816cd2b6912ab89401eaa,1
ping  127.0.0.1 -n 45,1
Bruh - Sound Effect (HD) - Gaming Sound FX,1
63a8a4c1010e5b0e3fa1299a25f185d0,1
34ea2dba0183928469692ae4606a8283,1
5ecc2dbefeb79a80c954facf2042fdd1,1
41516cd8ff6eafb12a6321853cd35ed8,1
1F0LTC0kP2,1
2f6c720bd0622b3dfea95829a40fee12,1
2y8880,1
1i65e9,1
3r56r,1
29e5430d530340bf76eb79f4354ba6b0,1
8bca151590a49b18b621ef64fd23c989,1
eb2f3e68ce677d2014306ab12868a99c.exe eb2f3e68ce677d2014306ab12868a99c.exe ENABLE,1
powershell.exe [System.Security.Principal.WindowsIdentity]::GetCurrent().Name,1
~6462909775514721825,1
c set,1
7be8a644b9520bdf8666a58c5eb22e63,1
51dc3df553800ad15f0170ae16be9a01,1
903936e8587f4d9fb30f8edf841c381d,1
006bf84055e1d7b030b6f4aecbc0a128,1
25d7d5bd0772c5c3604301bef191bb34,1
8a4a8f63952b632c561f1e8ae5dd2c5d,1
Disc 361,1
29800c3696d341e81b561294e49de335,1
01ac63ac854168ce2cfc735b1fa8bf1f,1
06ddfdfc92639c33149218257de7923c,1
8e6104324feafc6438f15f65b8e37983,1
559df2b63bf8c0ebb2a790387da30959,1
71397f07a453e136738d35e3a906f50e,1
24847218865aada7d8604f929f942df8,1
775e1be698ab02b73cd30df1007b7cd8,1
"37242b74b0c92f5ad35cabc84a8a129e.exe.dll,DllMain",1
Y Quotes.iso *.*,1
c cmd < Host,1
790318d70c,1
2j3459,1
V boulder Decade,1
6c2bb92088,1
Y Bmw.rtf *.*,1
T 5 eDzXivtOWfXvecTOcjmXcu,1
1c6403b28e,1
T 5 SJaHEIhOIRsgEIoxPeFIO,1
1D02P6,1
V OPENS Biographies,1
25378231d8ba8811c04ef7173e4cd8eb,1
02e355a4469b361b0f17ee9704f7f75b,1
1f9e88bc18d85892f350a79fa161aa3d,1
390d78f159e2aeccf38865d26e58c5d6,1
ncOTDDGP1VwOkPEGIop7fQp+0frLlJjYo+97bpGTcqFA3w=,1
2602febfddf31b1a94f14ab1d949858f,1
I sophoshealth,1
I nswscsvc,1
timeout 6,1
I avgui,1
I opssvc,1
I avastui,1
I wrsa,1
BouncyCastle.Crypto.dll,1
System.Data.SQLite.dll,1
SQLite.Interop.dll,1
EntityFramework.SqlServer.dll,1
System.Data.SQLite.EF6.dll,1
Newtonsoft.Json.dll,1
System.Data.SQLite.Linq.dll,1
0cfc6b80eaf068ff44684c88e8a9518b,1
90cf341d62b8ee36eba7a78c91b5680e,1
34c1e983d56fe77d7e5064a4bd5cabc0,1
9c6847ebe3206a47d2f5b3fa347881e2,1
"cbc23824fc07462096621ea808b82523.exe.dll,DllMain",1
81510aa0ed2446d463385eefb587fc24,1
01e5fd645b5bb2769675e33543a701d2,1
265a62162d36aa09be57415b5dbf9433,1
675c7876047070f8522ba7660e5f8296-03-,1
0af2af7d82530e4862231d52d7db52a2,1
suchost..exe,1
svchost..exe,1
080520e2a33aa466e6da9b337cdc2fe8,1
2d3a0a51390b013110c353ea61fe49c0,1
141f985e57a7c9dfb63743f71c34f177,1
224707f650568693db9d39b1c4e6dd75,1
776e1ae64233ed74eb6d860226c7ded1,1
23eab1deb22b40e5b2f4b9a80fe435cd,1
2451bc0dd45ed934252f00a526943307,1
56e9328c655691745b2311a46fe32ba5,1
8fc288406318e6c739dd1af2035f5e7e,1
3a0d0cd46b2428c5392c935fe1fa8f49,1
37a8473fac1a1d3d3197699add5aea08,1
08166e7eccff8c65d606d04862bdc106.exe 08166e7eccff8c65d606d04862bdc106.exe ENABLE,1
7f99bd44f59545e265793e0e5a285914.exe 7f99bd44f59545e265793e0e5a285914.exe ENABLE,1
c wevtutil clear-log Security,1
IM 1cv5,1
IM code,1
c wevtutil clear-log System,1
IM 1cv8,1
c wbadmin delete systemstatebackup -deleteoldest -quiet,1
IM dbeng50,1
wevtutil  clear-log Application,1
IM dbsnmp,1
IM cntaosmgr,1
IM devenv,1
wevtutil  clear-log Security,1
IM encsvc,1
IM agntsvc,1
c assoc,1
IM 1cv6,1
wevtutil  clear-log Setup,1
wevtutil  clear-log System,1
c wevtutil clear-log Application,1
IM 1cv7,1
IM excel,1
IM 1cv4,1
c wevtutil clear-log Setup,1
1d6f6c112e7d24a865151f33f5b35d2e,1
2f549c98f1eb62b82c95af9a961de84d,1
56a9fd55722a6faeaa45b40f43adf812,1
565e2fa0c0a968716f4183e0025cc502,1
3155195620a112fcd36871367b8af249,1
324c3d6612ba45e7e4a5b4aa7e5caf93,1
435b8368149759f42456491080353279,1
9a812991c8402076ed162c152d102988,1
42f2706ed20e60703e2ca201f7065ffe,1
163eb98347901171eec2a21aaddfa19f,1
timeout  60,1
264916b02d184d732e0eb9a36addb2b1,1
cscript  prompt,1
WavesSvc64.exe.exe,1
1c4021ce96d4cb9f000c1f2ebe805e63,1
4ade579bdb9a964291904d9fb0d9ea15,1
65f65f7da7d048776fe33316741cde3f,1
"5307c342db4705ce82656efc367b133d.deploy.dll,DllMain",1
34e34e55ccce3cf7cbb28e1110de8461,1
86ec396f4cb7c81c6468ce314aef61b0,1
275ac1e869abe3225fcb139cae3eedda,1
24339c5507d148c5e5f040939412f770,1
"291f81fc92248d195db278eca2cd23ce.exe.dll,DllMain",1
1105662f4414b82b9c18760dec597ff8,1
8e525be3c38b4d1840e1d3e19bfe2491,1
523d069132257d0f71b45f7e4a97a1ad,1
7731fc3c908e3507bec9d9e79084788e,1
netsh  advfirewall firewall Delete rule name=LetsPRO,1
c netsh advfirewall firewall Delete rule name=lets,1
73900d65de20a07fa2091ccbfe79c1eb,1
c netsh advfirewall firewall Delete rule name=LetsPRO,1
c netsh advfirewall firewall Delete rule name=LetsVPN,1
netsh  advfirewall firewall Delete rule name=LetsVPN,1
3e65ffdbf8b546d16dea6d35392eb496,1
329847f83174e2610560b2ed075e7a4d,1
813d3533b24ad03b43cbbb93b91da992,1
6ff96072204543f6b472eb7b05a1cf46,1
"a844bd8d4ebe80c50e5c614143a34fdd.exe.dll,DllMain",1
2gKWR3,1
c front,1
7f2d5fc76fdfcd6e88cdec08288c507b,1
"898f6dff8cccc5d82967390a70ed9cd8.vir.dll,DllMain",1
55aced494a5d07e4503af18bbb7dfd24,1
reporter.exe reporter.exe ENABLE,1
0ff479a00a5bb963aaeb112dd9db3e11,1
2c4222095999149b8b659e005d404338,1
1ae83926121eac4b353e23e57c9cbf58.exe.dll,1
0eec797f4511c1a0c7c576ed9b15c42f,1
97407f31ed82c69a490296210235adbc,1
5faf9a3e0032e7c9790df3d047a09fe1,1
Y Tony.xlsx *.*,1
V profile North,1
k move Large.xlsx Large.xlsx.cmd & Large.xlsx.cmd & exit,1
6675797b3b16c84175767bcb8eb5a47a,1
72f66547db80a5ee6cce06ce9b6dfc0e,1
028ab53194b1f809796084c7674c84d7,1
2742d572219f5dd083af693c6b65369c,1
7373c7bfe283e67e3397cf89f2762821,1
451a6e715477ef8296e50e6b0d81cab4,1
9ea0f5318cd1e3de3bb84c9028c79c32,1
4446fdd8c976a97ff2c441add56db128,1
248d0254cfcc9ab71654ff8e6fa39e95,1
345fcb0712ca193e03a65fc002387b9d,1
03e543ac603fa7de486143c4328aa203,1
810c13e8b3dfe9689d93b98fb165916f,1
4f83ca0773f2fd0fa28f375b5ec60dac,1
9a86e86bd9c384ce9c2ede2d35e521ed,1
9e2ab0ec3ed25fc753f2f7803eeb60c7,1
0ab5f252500132710ae93dcfb091972d,1
"500979c9cdaa0aa838ac588aed3dee40.exe.dll,DllMain",1
2944355377641104bcfc18d066eaa33d,1
9f1182082c7f6d96d472323a4297a8a8,1
5829b8db0802174736c7c94fd4d97eaf,1
604932d496d232f39132e8d45ba72220,1
TN video_minimizer_12125,1
57272d2738dc9e60e35153d8e2d15706,1
3beaf3d54d581c728512848bc4fc02fb,1
7za.exe x -y -p1946518016400410350 Everything64.dll,1
datastore@cyberfear.com_no gui.exe,1
5dbd875b85c0c270e10b1554b2f439f8,1
818b6cf43fcba132b1b9df66bb271560,1
8b2a2b9d36cc431da62b52c9ed4220d0,1
4f6dc5344a86310674f8c916ce1e4ba3,1
5b5fca1f5fa1fa5dea39ec55b4f0aa0b,1
5e2b25806d2c99bec7f069d0b8b30974,1
50ab5bccacb8299c768d4697ee5f50c4,1
System.Windows.Forms.SendKeys::Send,1
1091956f810ca6b9864ebbd49899b457,1
3b90458066254cd6f5d4d553d1e05be2,1
intel.ssd.toolbox.exe,1
29b546113b5000a7e4036a13526d55c7,1
0f8bbc248ffbf72dbc8309f360c9fcc0.exe 0f8bbc248ffbf72dbc8309f360c9fcc0.exe ENABLE,1
421fa08367e7ea47648139749f41a0e7,1
7z.exe  e file.zip -p___________800pwd4332pwd4334___________ -oextracted,1
attrib  +H stubbb,1
24842406b9db5203609ab6b9206cb4d1,1
tmp7399.tmp.exe,1
0yusntyv,1
36-qxk8j,1
3znqwtxh,1
2zqpcmy6,1
6etqac9x,1
2oz3brqq,1
kp-crndj,1
1gi-_jyt,1
bxvuv-yh,1
9ve8-h2o,1
0kd1adfw,1
-ttwn1ad,1
0x2nrmig,1
3qrby80p,1
Many.exe Many.exe ENABLE,1
6c734c2352da0f8cd46851ca283d4a3f,1
2c0a618f4a163555668a61c2fffd01fc,1
2d61e47553b77b45a54086eb2d15a785,1
FB_DA66.tmp.exe,1
FB_DE3E.tmp.exe,1
9e90ca8517c7b1d94e3fe0cd2b2c3a59,1
906c66abdc466477d3de6eb6ee72f569,1
9b9e0f8ef713e0ad5fa08e7422cba430,1
875e134b78b082ddfcf9588d89431c33,1
30321890bfb01114eabd81ec13740d04,1
tmpEEF0.tmp.cmd,1
timeout  6,1
3d27c038956df6a0b648b258745acdf1,1
1588ea11a68c380c47d10e9000604746,1
22b0e1775e8e02946852130d16537b37,1
3869444b92415ac2819525363e8cf86c,1
15a0c6eade31a316d52ad29c31785687,1
511b7b87cb367975ffac3b3db4ddeaaa,1
8877fe75d0094ab72b0f77f182fff85e,1
291060cd9c5059865f71252ad8b05c6c,1
38c0bc451b7bcea18e0fd78b79dac403,1
16c74ec21fdf3edac1daba488fe5ee55,1
25fcf91383d032c35bbdefa292576b29,1
System.Reflection.Emit.ILGenerator::EmitCall,1
$77-DiscordUpdater,1
$77-Kitty,1
jjsploit_8.14.1_x64_en-US.msi,1
$77-DasHost,1
$77-RobloxCrashHandler,1
8f0931a5075ab8a7f285bc373fc3e29b,1
$77-Install,1
"1ae754e45b4e8b09808562cc11350adf.exe.dll,DllMain",1
088db1e757edd46fb72b1b0f029b1386,1
09f37ff25da6f9d88d808d564d770dd2,1
"248e1ebc9612fced09ad37d7997d904f.exe.dll,DllMain",1
9774c61d9fa780c07bd4cdf477754458,1
4087b34dfe2bc5acde7cf336d472afa8,1
47c9515b524634b5ee662279e9eb869e,1
71aBIXFpkIaRuQgR,1
9GoldenRod,1
shawori4.0.exe,1
ksmj.ddns.net.exe,1
Blandly Rootkit,1
R00tkit Blandly,1
18eff90fded016a276c194a24d12c212,1
444dbfd84f32ac9e22e65e7228d1c01c,1
5162db04ecdb8c65dc9e5a98ad820db4,1
187e1de282748337d2e1642a861a3b5d,1
94dc20af53175a30474970cddd424e9f,1
699fd3524a6b262e3627e812753f1812,1
70a596e3f2187896b67ceb26de7b78c7,1
